station,year,month,day,hour,temp,dewp,humid,wind_dir,wind_speed,wind_gust,precip,pressure,visib,time_hour
SEA,2015.0,1.0,7,14,44.06,42.98,95.95,330.0,3.4523399999999995,3.972883825199999,0.0,1026.4,0.25,2015-01-07T22:00:00Z
SEA,2015.0,1.0,7,15,44.6,42.8,93.35,30.0,5.7539,6.621473041999999,0.0,NA,0.25,2015-01-07T23:00:00Z
SEA,2015.0,1.0,7,16,44.6,42.8,93.35,0.0,0.0,0.0,0.0,NA,0.25,2015-01-08T00:00:00Z
SEA,2015.0,1.0,7,17,44.06,42.08,92.69,0.0,0.0,0.0,0.0,1027.1,0.25,2015-01-08T01:00:00Z
SEA,2015.0,1.0,7,18,44.6,42.8,93.35,0.0,0.0,0.0,0.0,NA,0.25,2015-01-08T02:00:00Z
SEA,2015.0,1.0,7,19,44.6,42.8,93.35,10.0,5.7539,6.621473041999999,0.0,NA,0.25,2015-01-08T03:00:00Z
SEA,2015.0,1.0,7,20,44.6,42.8,93.35,360.0,6.904679999999999,7.945767650399998,0.0,NA,0.75,2015-01-08T04:00:00Z
SEA,2015.0,1.0,7,21,NA,NA,NA,NA,NA,NA,0.0,NA,0.75,2015-01-08T05:00:00Z
SEA,2015.0,1.0,7,22,44.6,42.8,93.35,350.0,8.05546,9.2700622588,0.0,NA,1.25,2015-01-08T06:00:00Z
SEA,2015.0,1.0,7,23,46.04,42.08,85.97,0.0,0.0,0.0,0.0,1025.6,7.0,2015-01-08T07:00:00Z
SEA,2015.0,1.0,8,0,44.6,41.0,87.09,0.0,0.0,0.0,0.0,NA,7.0,2015-01-08T08:00:00Z
SEA,2015.0,1.0,8,1,44.6,41.0,87.09,0.0,0.0,0.0,0.0,NA,7.0,2015-01-08T09:00:00Z
SEA,2015.0,1.0,8,2,42.8,41.0,93.3,30.0,4.60312,5.297178433599999,0.0,NA,7.0,2015-01-08T10:00:00Z
SEA,2015.0,1.0,8,3,44.6,42.8,93.35,50.0,4.60312,5.297178433599999,0.0,NA,5.0,2015-01-08T11:00:00Z
SEA,2015.0,1.0,8,4,42.98,41.0,92.65,20.0,5.7539,6.621473041999999,0.0,1025.4,5.0,2015-01-08T12:00:00Z
SEA,2015.0,1.0,8,5,42.8,41.0,93.3,20.0,9.20624,10.594356867199998,0.0,NA,0.5,2015-01-08T13:00:00Z
